,id,tweet,tweet_cleaned,ypred
320,1436410980708257795t,Also: Providence man charged with Aug. 28 killing | Another lawmaker changes course on vaccine mandate | more. https://t.co/WbGpQYrG2d,also  providence man charged with august 28 killing   another lawmaker changes course on vaccine mandate   more  ,primary
321,1437141315406475265t,"If you post this or find this to be a fair comparison, you are essentially telling me “Look at me! I’m stupid!!” They aren’t even in the same ballpark. They aren’t even the same fucking game. #GetVaccinated #COVID19 https://t.co/lKiUAq6QCS",if you post this or find this to be a fair comparison  you are essentially telling me  look at me  i am stupid    they are not even in the same ballpark  they are not even the same fucking game   getvaccinated  covid19 ,non-reporting
322,1445056496069488640t,"This situation is so sad and really destructive to so many, so many people.  I hope those who refuse to take the vaccine and take care of themselves and consequently, of everyone else they come in contact with can reason, think and reflect that this is not a joke or political.",this situation is so sad and really destructive to so many  so many people   i hope those who refuse to take the vaccine and take care of themselves and consequently  of everyone else they come in contact with can reason  think and reflect that this is not a joke or political ,non-reporting
323,1412487668060110850t,Can employers ask employees about their vaccine status? Can someone be fired for refusing to get vaccinated? Here are answers to the most common questions surrounding the vaccine and the legal rights of employers and employees. https://t.co/jXzPxt5kbi,can employers ask employees about their vaccine status  can someone be fired for refusing to get vaccinated  here are answers to the most common questions surrounding the vaccine and the legal rights of employers and employees  ,primary
324,1403937219665006598t,80k +ve &amp; 1.23 lakh recoveries in last 24 hrs. Active cases still a little above 10 lakhs. The fall is slower compared to May. Vaccination is going well. 4.3 lakh+ve cases and 6.6 lakh recoveries projected in this week. Active cases to be around 7.5 lakhs! #IndiaFightsCorona,80k +ve  amp  1 23 lakh recoveries in last 24 hrs  active cases still a little above 10 lakhs  the fall is slower compared to may  vaccination is going well  4 3 lakh+ve cases and 6 6 lakh recoveries projected in this week  active cases to be around 7 5 lakhs   indiafightscorona,non-reporting
325,1455523522084839429t,Petition: Prohibit employers from requiring staff to be vaccinated against Covid-19 https://t.co/EuC45Ob8Et,petition  prohibit employers from requiring staff to be vaccinated against covid 19 ,third-party
326,1467115667430297608t,"@AmyBerlin16 

You think? Where do you get your news from?

https://t.co/D1ayPLkULl", amyberlin16     you think  where do you get your news from     ,primary
327,1460992469722701835t,"@KellyannePolls My 5 year old, who I’ve had to work to keep protected from your boss’s policies and behavior, was finally able to get a COVID vaccine under Biden’s leadership. The only thing that I could possibly feel with a new President, acting as an actual leader, is relief.", kellyannepolls my 5 year old  who i have had to work to keep protected from your boss s policies and behavior  was finally able to get a covid vaccine under biden s leadership  the only thing that i could possibly feel with a new president  acting as an actual leader  is relief ,non-reporting
328,1505096650963914752t,@Tracey_YYC @Type1Liz Hi Tracey. There’s a list of specific immune situations that provides eligibility for a 4th dose 5 months after the 3rd. https://t.co/dlNEgS4dKq https://t.co/uBWudlDUUC, tracey yyc  type1liz hi tracey  there is a list of specific immune situations that provides eligibility for a 4th dose 5 months after the 3rd   ,primary
329,1482166432158961667t,@POTUS How is  a vaccine that stop the spread or contraction of covid hurting the country  and everyone?, potus how is  a vaccine that stop the spread or contraction of covid hurting the country  and everyone ,non-reporting
330,1465291013443006473t,"‘Vaccine’ is the word of the year, Merriam-Webster announces https://t.co/oUEFCIPIqx https://t.co/28ySlSMFhT", vaccine  is the word of the year  merriam webster announces  ,primary
331,1455912650601291784t,Didn’t he say he was vaccinated earlier this year though?!??? https://t.co/0VJChb6CBZ,did not he say he was vaccinated earlier this year though      ,non-reporting
332,1399945546488434688t,@leighsales Vaccination doesn’t equate to guarantee immunity does it?, leighsales vaccination does not equate to guarantee immunity does it ,third-party
333,1449388956680957953t,@Edmond_Dantes_2 @JJJamesonBugle @CP24 So you're saying the vaccine kills at a greater rate then covid?, edmond dantes 2  jjjamesonbugle  cp24 so you are saying the vaccine kills at a greater rate then covid ,third-party
334,1457472167164071940t,"@viewspotnz I wonder how they will explain all the deaths and cases once we are in the traffic light system? Hmm coz surely the vaccinated will be enjoying their life, mixing and mingling right 🤔😏", viewspotnz i wonder how they will explain all the deaths and cases once we are in the traffic light system  hmm coz surely the vaccinated will be enjoying their life  mixing and mingling right  thinking face  smirking face ,third-party
335,1403483023920795652t,"@Nabula74046794 @WyrdGrl @Freedomlovesme @cygnus_321 @jimmy_dore @Chicho93903740 @BasedVandelay Research? You've gotta be kidding, those folks are conspiracy theorists with no scientific expertise who bring one after another anti-vaxxer onto their show. I've listened to them before, they are no more convincing than any other anti-vaxxers are (i.e., not at all).", nabula74046794  wyrdgrl  freedomlovesme  cygnus 321  jimmy dore  chicho93903740  basedvandelay research  you have got to be kidding  those folks are conspiracy theorists with no scientific expertise who bring one after another anti vaxxer onto their show  i have listened to them before  they are no more convincing than any other anti vaxxers are  i e   not at all  ,non-reporting
336,1481784140500508675t,"@AdamKinzinger Not bad, but I believe the most obvious fix is an insurance surcharge for the unvaccinated that is refundable upon vaccination. Higher risk, higher premium. Get vaxxed, lower risk, lower premium. If you smoke, you pay more, why not apply the same ACCEPTED logic to vaccination?", adamkinzinger not bad  but i believe the most obvious fix is an insurance surcharge for the unvaccinated that is refundable upon vaccination  higher risk  higher premium  get vaxxed  lower risk  lower premium  if you smoke  you pay more  why not apply the same accepted logic to vaccination ,non-reporting
337,1415696970493091842t,Fights over COVID-19 vaccines are spilling over to other types of shots https://t.co/gKmYpNL0iJ,fights over covid 19 vaccines are spilling over to other types of shots ,primary
338,1433569675900817408t,"@zoffany90 Awesome! My body my choice. Nobody should tell me what to do with my body. If I don’t want to have a child or if I don’t want to have a vaccine, nobody should make me do it. Can I get an amen!", zoffany90 awesome  my body my choice  nobody should tell me what to do with my body  if i do not want to have a child or if i do not want to have a vaccine  nobody should make me do it  can i get an amen ,third-party
339,1396301377467518991t,"Update From: CVS Pharmacy in WASHINGTON, DC
With Dates: 2021-05-23,2021-05-24,2021-05-25,2021-05-26
WASHINGTON, 20005
URL: https://t.co/tyRTL0OP8H
May 22, 11:06 PM",update from  cvs pharmacy in washington  dc  with dates  2021 05 23 2021 05 24 2021 05 25 2021 05 26  washington  20005  url    may 22  11 06 pm,primary
340,1440829102362038274t,@Newsweek As expected!! This virus has an extremely high mutation rate that won't be stopped until we have a true vaccine. This is why world's DRs are discussing the need for better treatments and less reliance on a failing vaccine!!, newsweek as expected   this virus has an extremely high mutation rate that will not be stopped until we have a true vaccine  this is why world s drs are discussing the need for better treatments and less reliance on a failing vaccine  ,third-party
341,1473847392835633155t,"Intel decides that those who have not been vaccinated with the new corona vaccine will be on unpaid leave from April 2022
https://t.co/ExjZzqi7Qf",intel decides that those who have not been vaccinated with the new corona vaccine will be on unpaid leave from april 2022  ,primary
342,1406618950008455170t,If you haven’t gotten vaccinated at this point (and you’re able to) it’s not my problem anymore I’m sorry but get a grip!,if you have not gotten vaccinated at this point  and you are able to  it is not my problem anymore i am sorry but get a grip ,non-reporting
343,1493964667500347394t,If the first 3 don’t work… I’d say look at the vaccine. Maybe it’s pure saline. https://t.co/CC0yk7WIM3,if the first 3 do not work  i would say look at the vaccine  maybe it is pure saline  ,primary
344,1409945658811895814t,"@sjchealth The new COVID-19 vaccine clinic will be open Mondays through Thursdays from 8:30 a.m. to 6:00 p.m. and Fridays from 8:30 a.m. to 3:00 p.m. Walk-ins are welcome, and you can still schedule your vaccine at https://t.co/sa72Wl4eAu or by calling 211.", sjchealth the new covid 19 vaccine clinic will be open mondays through thursdays from 8 30 a m  to 6 00 p m  and fridays from 8 30 a m  to 3 00 p m  walk ins are welcome  and you can still schedule your vaccine at  or by calling 211 ,non-reporting
345,1485432225713823746t,"After getting your #COVID19 vaccine or booster shot, you may feel a little tired/sore the next day. On the other hand, getting COVID can lead to severe illness, infecting others, and missing more days of school or work. Your time &amp; health is worth a shot: https://t.co/wfauQnk3Cu https://t.co/oUobwVW594",after getting your  covid19 vaccine or booster shot  you may feel a little tired sore the next day  on the other hand  getting covid can lead to severe illness  infecting others  and missing more days of school or work  your time  amp  health is worth a shot   ,non-reporting
346,1442526622222065664t,@Santitos041 @518_UpstateNY @JoeBiden @DrBiden @TheDemocrats Cool. Live your pandemic lifestyle forever. The vaccine doesn’t even protect fully vaccinated. Your follower mind shows., santitos041  518 upstateny  joebiden  drbiden  thedemocrats cool  live your pandemic lifestyle forever  the vaccine does not even protect fully vaccinated  your follower mind shows ,third-party
347,1458880055464054785t,"That vaccine is no joke!
Big Bird got it and now the WHOLE right wing is sore! Yikes.",that vaccine is no joke   big bird got it and now the whole right wing is sore  yikes ,non-reporting
348,1465899534744047619t,"@TreeNunes @SpyDoggie @Reuters in fact, a vaccine may not be possible bc it poses the same challenge through its structure, as a vaccine for HIV. that just can’t be announced yet", treenunes  spydoggie  reuters in fact  a vaccine may not be possible because it poses the same challenge through its structure  as a vaccine for hiv  that just cannot be announced yet,primary
349,1517082405466558464t,"@sadujtoiracsi Another indoctrinated follower of online conspiracy theories who has little knowledge of history &amp; thinks vaccine mandates (try going to school without being up to date) with the atrocities of Nazi Germany. Work in healthcare or the military, lots of mandates on things.", sadujtoiracsi another indoctrinated follower of online conspiracy theories who has little knowledge of history  amp  thinks vaccine mandates  try going to school without being up to date  with the atrocities of nazi germany  work in healthcare or the military  lots of mandates on things ,non-reporting
350,1511018980491857929t,Looking at some jobs that are open online. Every one of them aays applicant must be fully vaccinated against covid 19 ! Why?,looking at some jobs that are open online  every one of them aays applicant must be fully vaccinated against covid 19   why ,third-party
351,1441008590924304387t,"@VolatileDrunk @PatsKarvelas do you not see that you're a part of the problem? the consistent and unnecessary abuse of women online? 

For what? posting she got a vaccine?", volatiledrunk  patskarvelas do you not see that you are a part of the problem  the consistent and unnecessary abuse of women online      for what  posting she got a vaccine ,primary
352,1430589989474156547t,"RG's Drew Demerse, Keri Bennett and @cjmunroe  discuss mandatory vaccination policies for the workplace in this policy paper for the Business Council of British Columbia. Read more here: https://t.co/jNcsyxMPvM
#mandatoryvaccination #employmentlaw #healthandsafety",rg s drew demerse  keri bennett and  cjmunroe  discuss mandatory vaccination policies for the workplace in this policy paper for the business council of british columbia  read more here     mandatoryvaccination  employmentlaw  healthandsafety,primary
353,1429192481644728328t,@nobody656593268 cuz maybe anybody tweet that they got vaccinated with a photo will blow up a little lmao. again congratz for being vaccinated, nobody656593268 cuz maybe anybody tweet that they got vaccinated with a photo will blow up a little lmao  again congratz for being vaccinated,non-reporting
354,1439243692695564300t,"Top VA, DC news includes fallen soldier's motorcade, measles exposure, zoo animals with COVID, and analysis of school segregation history. https://t.co/npClXjNzhI",top va  dc news includes fallen soldier s motorcade  measles exposure  zoo animals with covid  and analysis of school segregation history  ,primary
355,1463965120053362688t,Looking like a real 🤡. Some of us never got rid of it and been telling y'all to keep wearing it! Vaccinated or not! https://t.co/JJx8sIGvgA,looking like a real  clown face   some of us never got rid of it and been telling you all to keep wearing it  vaccinated or not  ,non-reporting
356,1428246455899377670t,"Call the toll-free hotline number 
📞0800 029 999 for all your #COVID19 #VacciNation queries #StaySafe https://t.co/XwmoRwDOsf",call the toll free hotline number    telephone receiver 0800 029 999 for all your  covid19  vaccination queries  staysafe ,non-reporting
357,1490380341726658563t,I’d love to hear what the left would be saying right now about the vaccine had Trump won the election.  And by “won” I mean not had cheaters for opponents.,i would love to hear what the left would be saying right now about the vaccine had trump won the election   and by  won  i mean not had cheaters for opponents ,primary
358,1421184050404995075t,Lancashire's vaccine rate slows as residents urged to 'ignore rubbish on social media' https://t.co/Mrxm5Dk58v,lancashire s vaccine rate slows as residents urged to  ignore rubbish on social media  ,primary
359,1480887928872218626t,@pfizer let's talk about your deadly birth control shot Depo Provera. You guys knew it was dangerous even deadly and failed to share All the info and continue to poison young girls and women. My Bre is dead from trusting your drug. I'm terrified to take covid vaxx. Don't trust u https://t.co/EkuDidvaiN, pfizer let us talk about your deadly birth control shot depo provera  you guys knew it was dangerous even deadly and failed to share all the info and continue to poison young girls and women  my bre is dead from trusting your drug  i am terrified to take covid vaxx  do not trust you ,third-party
360,1405861089565347845t,"AstraZeneca 'welcomes' Court ruling on supply of COVID-19 vaccine to Europe
$AZN",astrazeneca  welcomes  court ruling on supply of covid 19 vaccine to europe   azn,primary
361,1447939638136541192t,"Do you know what the Internet of Bodies (IoB) is? The so called vaccine passport is a platform for future technologies to control your data. Harmless you think? 

RAND - Pentagon, USA warfare think tank, Gates funded - clip 👇

Don’t be naive @lasleh 

https://t.co/1rQlKPDbjU",do you know what the internet of bodies  iob  is  the so called vaccine passport is a platform for future technologies to control your data  harmless you think      rand   pentagon  usa warfare think tank  gates funded   clip  backhand index pointing down     do not be naive  lasleh     ,third-party
362,1438544824370700290t,"Walgreens and EPISD offer another chance for employees, their families and the general public to get the flu, COVID or T-DAP vaccine 💉 from 8 AM-Noon this Saturday at 1100 N. Stanton. $0 copay for employees on EPISD insurance plan. This is a drive-thru clinic. #IamEPISD https://t.co/TFPGJQG79H",walgreens and episd offer another chance for employees  their families and the general public to get the flu  covid or t dap vaccine  syringe  from 8 am noon this saturday at 1100 n  stanton   0 copay for employees on episd insurance plan  this is a drive thru clinic   iamepisd ,non-reporting
363,1517530607240327168t,"@DixonBrandywine @p_pheryx @nd_warp I'm unvaxxed, got Covid, and didn't die.

The Science once said that the vaccine prevents spreading, when absolutely every scientific fact about vaccine science said otherwise.

Covid is over and people should live their life how they please.", dixonbrandywine  p pheryx  nd warp i am unvaxxed  got covid  and did not die     the science once said that the vaccine prevents spreading  when absolutely every scientific fact about vaccine science said otherwise     covid is over and people should live their life how they please ,third-party
364,1420854008361619461t,Who else thinks that all of them are already vaccinated? https://t.co/diEdCEW6VT,who else thinks that all of them are already vaccinated  ,primary
365,1441077846538076160t,Shits really going to suck for all those kids with fake ID’s when they go to show their vaccine passport and it doesn’t match up 🤣🤣 guess photoshopped vaccine cards are going to be the next thing 🤣🤣,shits really going to suck for all those kids with fake id s when they go to show their vaccine passport and it does not match up  rolling on the floor laughing  rolling on the floor laughing  guess photoshopped vaccine cards are going to be the next thing  rolling on the floor laughing  rolling on the floor laughing ,primary
366,1412140048187789323t,They’re waiting for the variant that’s vaccine resistant at this point. https://t.co/zdS0tydlfY,they are waiting for the variant that is vaccine resistant at this point  ,primary
367,1425108883027157003t,"@abc15 Anyone who thinks the vaccine is a cure all is an idiot. Especially one developed in less than a year. 

What the vaccine does do is prevent u from getting really ill or dying if u do get infected. 

99% of those dying from COVID-19 right now are UNVACCINATED.", abc15 anyone who thinks the vaccine is a cure all is an idiot  especially one developed in less than a year      what the vaccine does do is prevent you from getting really ill or dying if you do get infected      99  of those dying from covid 19 right now are unvaccinated ,third-party
368,1407066599107051521t,"Biden outlines vaccine plan, set to miss global-sharing goal https://t.co/qJkhZ1NSLx",biden outlines vaccine plan  set to miss global sharing goal ,primary
369,1480039553310212193t,@ToTheLifeboats How about an un vaccinated person such as me living with a vaccinated person such as my wife and the health problems we both have experienced from her getting vaccinated., tothelifeboats how about an un vaccinated person such as me living with a vaccinated person such as my wife and the health problems we both have experienced from her getting vaccinated ,third-party
370,1400476115831951365t,Joe Biden announces international Covid-19 vaccine sharing plan https://t.co/Mej8yB9wfE https://t.co/7i9oQuLDUh,joe biden announces international covid 19 vaccine sharing plan  ,primary
371,1441507737494376450t,"Vivint Arena will require full proof of vaccination or a negative COVID-19 test to enter the facility for all events, including Utah Jazz home games.

https://t.co/VyRm5hB8Jc",vivint arena will require full proof of vaccination or a negative covid 19 test to enter the facility for all events  including utah jazz home games     ,primary
372,1454293365219020803t,Yall are HALF ASS REPORTING COVID CASES AND DEATH PEOPLE MATTER AND VACCINATED PEOPLE HAVE DIED@! #GLOBAL,you all are half ass reporting covid cases and death people matter and vaccinated people have died    global,third-party
373,1495906329512316935t,"@lisaanne241 @sweettechgrad @thehill Unfortunately the vaccine doesn't work for some who are immunocompromised.

it's hard to know who or who isn't going to benefit from it.", lisaanne241  sweettechgrad  thehill unfortunately the vaccine does not work for some who are immunocompromised     it is hard to know who or who is not going to benefit from it ,third-party
374,1493839352790585351t,"@CoreyDKit @aginnt Not really, they were/are still under partial lockdowns and have been using vaccine passports.", coreydkit  aginnt not really  they were are still under partial lockdowns and have been using vaccine passports ,primary
375,1436182008221167640t,@FlourMillerKSU @mattgaetz @JoeBiden Please learn the definition of etiquette. Please get vaccinated. Thank you., flourmillerksu  mattgaetz  joebiden please learn the definition of etiquette  please get vaccinated  thank you ,non-reporting
376,1483751145675923461t,Vaccinated and you eat pork ? How you losing twice in life ?,vaccinated and you eat pork   how you losing twice in life  ,third-party
377,1491489611071336452t,@IncredibleZaC_ @firemannydiaz @WPLGLocal10 I dont see what that has to do with encouraging people to get vaccinated, incrediblezac   firemannydiaz  wplglocal10 i do not see what that has to do with encouraging people to get vaccinated,non-reporting
378,1467693134524018688t,"@MargotHayes18 @Kirk11955715 Of WHAT exactly are the Vaccinated  people afraid ? They are vaccinated! Have they NO FAITH in their JAB?  By denying unvaxed the ability to earn a living, buy food, do they feel safer, or superior ?  Its NOT like the unvaxed are Lepers, just treated as such?", margothayes18  kirk11955715 of what exactly are the vaccinated  people afraid   they are vaccinated  have they no faith in their jab   by denying unvaxed the ability to earn a living  buy food  do they feel safer  or superior    its not like the unvaxed are lepers  just treated as such ,third-party
379,1461823845594066944t,"@RealCandaceO Let’s talk about your mate Matt Gaetz, oh and also the Vaccinated Seditious Narcissistic Misogynistic Racist Loser Former Guy and his track record of rape and sexual assaults…. Oh I forgot, different set of rules for some 🙄", realcandaceo let us talk about your mate matt gaetz  oh and also the vaccinated seditious narcissistic misogynistic racist loser former guy and his track record of rape and sexual assaults   oh i forgot  different set of rules for some  face with rolling eyes ,primary
380,1425978436049321985t,The NorVa requiring proof of vaccination for all shows  https://t.co/aDPfukEUkX,the norva requiring proof of vaccination for all shows  ,primary
381,1442970025120305175t,"@BobLoblaw3 @NotAlexSheppard So if everyone who wants the vaccine can get the vaccine, why make everyone else get vaccinated https://t.co/Ygvwj0xsHy", bobloblaw3  notalexsheppard so if everyone who wants the vaccine can get the vaccine  why make everyone else get vaccinated ,third-party
382,1397350708597256192t,"@cbcnewsbc A study cited in NY Times &amp; elsewhere this week shows a single vaccine dose protects from symptomatic illness from the Indian variant by just 33%. Two doses are needed to obtain 88% protection. With so few BC-ers vaccinated twice, isn't reopening too risky still?", cbcnewsbc a study cited in ny times  amp  elsewhere this week shows a single vaccine dose protects from symptomatic illness from the indian variant by just 33   two doses are needed to obtain 88  protection  with so few because ers vaccinated twice  is not reopening too risky still ,primary
383,1483198551702536193t,"If this can get ramped up, then covid is over 👀

COVID-19: 92% of patients treated with Pfizer antiviral improved https://t.co/RvHFXrmj9e",if this can get ramped up  then covid is over  eyes     covid 19  92  of patients treated with pfizer antiviral improved ,non-reporting
384,1420134109993652230t,"@darren_trolls @RealCandaceO The vaccine itself is virtually unstudied in the grand scheme of things, sure. The technology/concept behind mRNA for use in treatment of diseases is not.

Really? The last sentence there. C'mon, really?", darren trolls  realcandaceo the vaccine itself is virtually unstudied in the grand scheme of things  sure  the technology concept behind mrna for use in treatment of diseases is not     really  the last sentence there  c mon  really ,primary
385,1397800912756916224t,"Many epidemiologists know it and are “silent” about the problem known as “antibody-dependent enhancement,” Montagnier said.

https://t.co/MTvkK7rrvX

https://t.co/qMiPwuJcvO",many epidemiologists know it and are  silent  about the problem known as  antibody dependent enhancement   montagnier said         ,primary
386,1400720558573064197t,"Planning to the #COVID19 Vaccine? Here are the key things to be kept in mind

#MainCovidHero

#Vaccine #VaccinesWork #VaccineRegistration 

https://t.co/HEexnUb2SC",planning to the  covid19 vaccine  here are the key things to be kept in mind     maincovidhero     vaccine  vaccineswork  vaccineregistration     ,non-reporting
387,1452126985598029830t,@shellsibelle @ReonPaniora @VL66137092 @traynor_zac @MuskyVote @AnnastaciaMP Here is a CDC document from the USA from earlier this year. There is more now but they limit it to 10000 https://t.co/KrSIIUsrqf, shellsibelle  reonpaniora  vl66137092  traynor zac  muskyvote  annastaciamp here is a cdc document from the usa from earlier this year  there is more now but they limit it to 10000 ,primary
388,1407904230799659008t,@AlanaKinrich Do you see many in the ED that are fully vaxxed ? Or even one dose ?, alanakinrich do you see many in the ed that are fully vaxxed   or even one dose  ,non-reporting
389,1482033392317345793t,"Breaking: Philadelphia has delayed its vaccine mandate for city employees until Jan. 24.

Find more details and live updates on the latest coronavirus news here ⬇️ https://t.co/MziIgvuaCj",breaking  philadelphia has delayed its vaccine mandate for city employees until january 24     find more details and live updates on the latest coronavirus news here  down arrow  ,primary
390,1422776445353435140t,NYFW Will Only Allow Vaccinated Guests to Attend Shows https://t.co/Z2fFw1GcCP https://t.co/jujRjWZNPq,nyfw will only allow vaccinated guests to attend shows  ,primary
391,1436370979043909639t,"@Alfonzowords2 where are you, busy buddy? @YouNetflix or #BloodAndWater? We need a watch party. I think #LuciferNetflix and #KateNetflix would have been good ones, mara spring has sprung, some of us are vaccinated — so it's rare we sit in lately. https://t.co/7cT0IliNE8 https://t.co/MNOPrXcQIJ", alfonzowords2 where are you  busy buddy   younetflix or  bloodandwater  we need a watch party  i think  lucifernetflix and  katenetflix would have been good ones  mara spring has sprung  some of us are vaccinated   so it is rare we sit in lately   ,primary
392,1462204477151199239t,As a German you’re cool with tyrannical lockdowns &amp; vaccine mandates? https://t.co/HWhReNOKsF,as a german you are cool with tyrannical lockdowns  amp  vaccine mandates  ,third-party
393,1461784949154099203t,@Jackie4LAkids @LASchools The FDA warned that they were approving the covid vaccine so children with high risk factors could get it. They warned AGAINST mandates for healthy kids. Go watch the FDA hearing. This is truly insanity. These kids aren’t at risk indoors or outdoors. 98.9998% survival rate., jackie4lakids  laschools the fda warned that they were approving the covid vaccine so children with high risk factors could get it  they warned against mandates for healthy kids  go watch the fda hearing  this is truly insanity  these kids are not at risk indoors or outdoors  98 9998  survival rate ,third-party
394,1457714447401689092t,"@MerlinLynn75 @ReubenR80027912 The vaccine does not do anything after a few months, do you have infinite money to keep paying them?", merlinlynn75  reubenr80027912 the vaccine does not do anything after a few months  do you have infinite money to keep paying them ,third-party
395,1465053958079229962t,@andrius_kai @rsmck @GOVUK That website suggests if vaccinated I do not need PCR or Antigen for Spain / Canaries?, andrius kai  rsmck  govuk that website suggests if vaccinated i do not need pcr or antigen for spain   canaries ,non-reporting
396,1511435148838912000t,@haleewalsh86 @kaki385 @CTVNews This is them pretty much admitting that the vaccine is pure poison., haleewalsh86  kaki385  ctvnews this is them pretty much admitting that the vaccine is pure poison ,third-party
397,1450872904162312192t,San Francisco shuts In-N-Out after it refused to enforce Covid rules https://t.co/AbCfb857Ll via https://t.co/m2cBAOjBpT,san francisco shuts in n out after it refused to enforce covid rules  via ,primary
398,1492679920258097152t,"The Department of Labor and Employment in the Philippines urges faster govt vaccine drive after three million Filipinos are rendered jobless due to the continuing scourge of the coronavirus
Read more... https://t.co/gQ3TReUMwZ  #Philippines #unemployment #COVID19 #CovidVaccine",the department of labor and employment in the philippines urges faster govt vaccine drive after three million filipinos are rendered jobless due to the continuing scourge of the coronavirus  read more       philippines  unemployment  covid19  covidvaccine,primary
399,1412476070096343053t,Thousands get fake COVID vaccine shots in alleged scam in India https://t.co/VsnfjYMlv4 via @CBSNews,thousands get fake covid vaccine shots in alleged scam in india  via  cbsnews,primary
400,1439177137362292737t,"@Jenny_McBr @ickonic @garethicke Oh sorry, hit a nerve?? - have your periods hit different since the vaccine??

I get a lot of females telling me the same 💉", jenny mcbr  ickonic  garethicke oh sorry  hit a nerve     have your periods hit different since the vaccine      i get a lot of females telling me the same  syringe ,primary
401,1395987675224580097t,"@GavinNewsom I call bullshit. Where are all these vaccinated, masked people working? You finally are allowing people to start to live almost a normal life...probably working on fossil fuels I’m assuming...that must be why gas prices are so high", gavinnewsom i call bullshit  where are all these vaccinated  masked people working  you finally are allowing people to start to live almost a normal life   probably working on fossil fuels i am assuming   that must be why gas prices are so high,primary
402,1446170080077877249t,New Data from Department of Defense 'Project Salus' Shows Waning Immunity from COVID-19 Vaccine to its 5.6 Million Vaccinated Medicare Beneficiaries (VIDEO) https://t.co/466iVAdbLG,new data from department of defense  project salus  shows waning immunity from covid 19 vaccine to its 5 6 million vaccinated medicare beneficiaries  video  ,primary
403,1416855472947273739t,"Houston Methodist network of hospitals requires employees to get COVID-19 vaccine.  I wish Amazon, Walmart and the largest employers in the US would follow suit. https://t.co/TqjoX1aCuW",houston methodist network of hospitals requires employees to get covid 19 vaccine   i wish amazon  walmart and the largest employers in the us would follow suit  ,non-reporting
404,1420408334163881984t,"@Thecongressian Modi being “dynamic” cannot be expected to look at and deal with the real issues; spying on his own people, poor vaccination rate, poor health care for his people, GDP👎🏼. Communication is not in his job description", thecongressian modi being  dynamic  cannot be expected to look at and deal with the real issues  spying on his own people  poor vaccination rate  poor health care for his people  gdp thumbs down medium light skin tone   communication is not in his job description,primary
405,1466500884985270275t,@SamuelBarr18 @gunplabear23 @LPCO @WhiteHouse @JoeBiden Which is immensely more expensive than a vaccine., samuelbarr18  gunplabear23  lpco  whitehouse  joebiden which is immensely more expensive than a vaccine ,primary
406,1399857260944363521t,"@shawncbrown @FraserMyers @SimonMagus You have injected a vaccine, but you are not vaccinated, by the makers own definitions. For example if the nurse accidentally only injects 5% of the vial you also vaccinated?

You know full well what the OP was saying with his 70% figure. https://t.co/qVWGmMi44y", shawncbrown  frasermyers  simonmagus you have injected a vaccine  but you are not vaccinated  by the makers own definitions  for example if the nurse accidentally only injects 5  of the vial you also vaccinated     you know full well what the op was saying with his 70  figure  ,primary
407,1474746186397626370t,"@con_gray Yes. The number referenced persons in hospital, with a positive test for covid at the time of my tweet  (four days ago), and whether they are on ventilators, and their vaccination status.", con gray yes  the number referenced persons in hospital  with a positive test for covid at the time of my tweet   four days ago   and whether they are on ventilators  and their vaccination status ,primary
408,1496199496191123467t,"@PhilipParker1 @whereisdaz Why do you scoff at the people who are valiantly trying to protect society? We stay away from others, wear our masks, are vaccinated, don't go out, etc and yet y'all don't like us. 

We'll remember this, don't worry.", philipparker1  whereisdaz why do you scoff at the people who are valiantly trying to protect society  we stay away from others  wear our masks  are vaccinated  do not go out  etc and yet you all do not like us      we will remember this  do not worry ,non-reporting
409,1445574741327171584t,"@crystalmundypsy Yes, everything by another committee. One for teacher vaccination mandate, one for booster shots. Can we have one for rapid tests ? How about one to decide if parents should be told if there is a covid positive child in their child’s class ?", crystalmundypsy yes  everything by another committee  one for teacher vaccination mandate  one for booster shots  can we have one for rapid tests   how about one to decide if parents should be told if there is a covid positive child in their child s class  ,primary
410,1420497211796905988t,"@The_Real_JSP Hey Janet, saw you on loose women defending people who don't want the jab, any chance of some real investigative journalism about vaccine injury for example @YardleyShooting this needs to be discussed on air", the real jsp hey janet  saw you on loose women defending people who do not want the jab  any chance of some real investigative journalism about vaccine injury for example  yardleyshooting this needs to be discussed on air,third-party
411,1440049390031282191t,"@onemoorematt People can have bad reactions and deaths are possible (even likely though rare). Based off the number of people who have received at least 1 shot, the number is statistically insignificant compared to covid deaths. 1.8% mortality covid vs .0002% from the vaccine", onemoorematt people can have bad reactions and deaths are possible  even likely though rare   based off the number of people who have received at least 1 shot  the number is statistically insignificant compared to covid deaths  1 8  mortality covid vs  0002  from the vaccine,non-reporting
412,1471223558697361418t,David you are an utter idiot. Do you know what an influenza virus is? Do you know what a vaccine is? Even know how to go to the bathroom without pissing all over your hands? maybe you should delete your Twitter account and go hide in your mom's basement https://t.co/hj4NcHkbv7,david you are an utter idiot  do you know what an influenza virus is  do you know what a vaccine is  even know how to go to the bathroom without pissing all over your hands  maybe you should delete your twitter account and go hide in your mom s basement ,non-reporting
